full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,182836,182836,28161,14747,14747,2120,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,60655,60655,9930,3761,3761,576,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9193,9193,14625,158,158,59,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1344,1344,2331,87,87,88,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,43832,43832,3740,2392,2392,259,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,53148,53148,5315,4624,4624,526,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,24752,24752,3680,9496,9496,1574,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,34023,34023,2768,968,968,118,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27296,27296,2785,1655,1655,214,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,830,830,1184,46,46,52,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3132,3132,3793,65,65,22,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,18792,18792,2747,2454,2454,381,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,19865,19865,2303,1345,1345,178,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2230,2230,3503,31,31,15,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7586,7586,1831,280,280,71,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10218,10218,1814,641,641,106,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2498,2498,1623,461,461,159,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9638,9638,1223,63,63,6,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9137,9137,695,264,264,33,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8286,8286,620,323,323,40,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,778,778,1748,17,17,4,https://github.com/hangsman/claude-code-source
pedrohcgs/claude-code-my-workflow,1094,1094,2257,100,100,230,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,2445,2445,2299,158,158,66,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3277,3277,708,299,299,31,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5896,5896,555,48,48,13,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,583,583,1305,18,18,8,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3795,3795,559,9,9,5,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3575,3575,467,84,84,10,https://github.com/1rgs/claude-code-proxy
nicedreamzapp/claude-code-local,2623,2623,509,339,339,62,https://github.com/nicedreamzapp/claude-code-local
FlorianBruniaux/claude-code-ultimate-guide,4340,4340,573,365,365,40,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
lorryjovens-hub/claude-code-rust,1578,1578,624,99,99,24,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4124,4124,407,78,78,13,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,3671,3671,616,89,89,14,https://github.com/disler/claude-code-hooks-mastery
wanshuiyin/Auto-claude-code-research-in-sleep,9422,9422,897,1815,1815,176,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
777genius/claude-code-source-code,910,910,1111,9,9,-4,https://github.com/777genius/claude-code-source-code
